x001,x002,x003,x004,x005,x006,x007,x008,x009,x010,x011,x012,x013,x014,x015,x016,x017,x018,x019,x020,x021,x022,x023,x024,x025,x026,x027,x028,x029,x030,x031,x032,x033,x034,x035,x036,x037,x038,x039,x040,x041,x042,x043,x044,x045,x046,x047,x048,x049,x050,x051,x052,x053,x054,x055,x056,x057,x058,x059,x060,x061,x062,x063,x064,x065,x066,x067,x068,x069,x070,x071,x072,x073,x074,x075,x076,x077,x078,x079,x080,x081,x082,x083,x084,x085,x086,x087,x088,x089,x090,x091,x092,x093,x094,x095,x096,x097,x098,x099,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,class
1.000000,0.671123,0.058824,0.093583,0.058824,0.000000,0.010695,0.008021,0.000000,0.042781,0.136364,0.232620,0.270053,0.280749,0.310160,0.302139,0.328877,0.331551,0.352941,0.350267,0.387701,0.393048,0.419786,0.441176,0.465241,0.473262,0.510695,0.510695,0.518717,0.516043,0.489305,0.446524,0.422460,0.371658,0.334225,0.310160,0.294118,0.251337,0.243316,0.227273,0.224599,0.221925,0.232620,0.224599,0.237968,0.232620,0.245989,0.229947,0.251337,0.232620,0.237968,0.243316,0.232620,0.227273,0.254011,0.264706,0.288770,0.307487,0.344920,0.355615,0.377005,0.347594,0.304813,0.237968,0.237968,0.213904,0.213904,0.200535,0.197861,0.197861,0.208556,0.205882,0.200535,0.229947,0.302139,0.540107,0.930481,0.949198,0.299465,0.032086,0.101604,0.029412,0.005348,0.026738,0.000000,0.016043,0.106952,0.187166,0.280749,0.302139,0.334225,0.320856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,0.987113,0.711340,0.242268,0.105670,0.172680,0.105670,0.061856,0.041237,0.056701,0.048969,0.085052,0.056701,0.059278,0.043814,0.072165,0.054124,0.056701,0.054124,0.067010,0.056701,0.048969,0.059278,0.082474,0.079897,0.077320,0.095361,0.105670,0.115979,0.105670,0.134021,0.131443,0.141753,0.123711,0.136598,0.144330,0.139175,0.123711,0.131443,0.128866,0.141753,0.115979,0.118557,0.123711,0.121134,0.087629,0.097938,0.087629,0.108247,0.074742,0.085052,0.092784,0.108247,0.082474,0.103093,0.095361,0.110825,0.085052,0.105670,0.097938,0.110825,0.097938,0.123711,0.134021,0.139175,0.144330,0.175258,0.213918,0.224227,0.216495,0.213918,0.203608,0.177835,0.162371,0.131443,0.126289,0.092784,0.074742,0.067010,0.077320,0.079897,0.069588,0.030928,0.000000,0.005155,0.231959,0.530928,0.817010,0.953608,0.953608,0.847938,0.533505,0.118557,0.087629,0.131443,0.090206,0.025773,0.018041,0.018041,0.033505,0.020619,0.012887,0.002577,0.030928,0.023196,0.030928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,0.659919,0.255061,0.230769,0.139676,0.004049,0.000000,0.085020,0.194332,0.263158,0.275304,0.289474,0.299595,0.301619,0.305668,0.315789,0.319838,0.319838,0.321862,0.331984,0.334008,0.336032,0.338057,0.350202,0.362348,0.364372,0.372470,0.386640,0.404858,0.408907,0.425101,0.445344,0.463563,0.473684,0.489879,0.512146,0.524292,0.526316,0.532389,0.548583,0.544534,0.544534,0.528340,0.516194,0.500000,0.469636,0.437247,0.412955,0.392713,0.376518,0.354251,0.350202,0.344130,0.331984,0.327935,0.336032,0.334008,0.331984,0.329960,0.336032,0.338057,0.329960,0.331984,0.334008,0.338057,0.331984,0.329960,0.329960,0.329960,0.325911,0.317814,0.315789,0.317814,0.313765,0.309717,0.315789,0.319838,0.307692,0.307692,0.313765,0.315789,0.309717,0.303644,0.307692,0.315789,0.317814,0.303644,0.315789,0.311741,0.317814,0.334008,0.342105,0.362348,0.372470,0.388664,0.388664,0.378543,0.356275,0.331984,0.319838,0.319838,0.307692,0.297571,0.301619,0.307692,0.303644,0.297571,0.309717,0.281377,0.210526,0.384615,0.862348,0.947368,0.376518,0.192308,0.210526,0.074899,0.006073,0.048583,0.147773,0.240891,0.283401,0.297571,0.313765,0.319838,0
1.000000,0.744094,0.163386,0.066929,0.196850,0.133858,0.088583,0.094488,0.094488,0.080709,0.072835,0.070866,0.074803,0.072835,0.059055,0.074803,0.074803,0.062992,0.062992,0.070866,0.072835,0.068898,0.072835,0.084646,0.092520,0.096457,0.102362,0.125984,0.129921,0.139764,0.161417,0.188976,0.208661,0.208661,0.222441,0.255906,0.273622,0.287402,0.289370,0.293307,0.273622,0.242126,0.214567,0.196850,0.171260,0.141732,0.124016,0.124016,0.120079,0.102362,0.096457,0.116142,0.116142,0.114173,0.110236,0.118110,0.125984,0.116142,0.114173,0.124016,0.129921,0.120079,0.114173,0.122047,0.124016,0.114173,0.104331,0.108268,0.100394,0.092520,0.090551,0.102362,0.092520,0.086614,0.076772,0.076772,0.082677,0.080709,0.066929,0.082677,0.078740,0.082677,0.068898,0.072835,0.094488,0.096457,0.106299,0.133858,0.153543,0.161417,0.206693,0.234252,0.222441,0.208661,0.161417,0.104331,0.072835,0.070866,0.061024,0.072835,0.070866,0.057087,0.062992,0.074803,0.072835,0.059055,0.206693,0.608268,0.966535,0.899606,0.318898,0.000000,0.151575,0.145669,0.076772,0.076772,0.086614,0.076772,0.070866,0.074803,0.072835,0.070866,0.066929,0.076772,0.074803,0
1.000000,0.747212,0.193309,0.000000,0.003717,0.059480,0.029740,0.092937,0.126394,0.115242,0.141264,0.171004,0.208178,0.241636,0.252788,0.237918,0.234201,0.260223,0.263941,0.260223,0.241636,0.252788,0.271375,0.256506,0.256506,0.282528,0.293680,0.289963,0.297398,0.312268,0.334572,0.342007,0.353160,0.375465,0.427509,0.442379,0.460967,0.483271,0.501859,0.494424,0.475836,0.472119,0.472119,0.434944,0.394052,0.353160,0.345725,0.286245,0.249071,0.230483,0.223048,0.197026,0.185874,0.174721,0.204461,0.208178,0.200743,0.219331,0.230483,0.234201,0.215613,0.211896,0.226766,0.215613,0.237918,0.245353,0.249071,0.237918,0.237918,0.245353,0.256506,0.252788,0.230483,0.241636,0.260223,0.249071,0.241636,0.249071,0.260223,0.249071,0.256506,0.531599,0.855019,0.546468,0.063197,0.014870,0.074349,0.055762,0.048327,0.111524,0.111524,0.092937,0.104089,0.189591,0.245353,0.237918,0.219331,0.219331,0.241636,0.241636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.974462,0.970430,0.533602,0.040323,0.145161,0.251344,0.208333,0.188172,0.190860,0.196237,0.202957,0.201613,0.205645,0.212366,0.227151,0.228495,0.229839,0.229839,0.244624,0.258065,0.264785,0.278226,0.299731,0.305108,0.319892,0.338710,0.348118,0.348118,0.340054,0.346774,0.342742,0.327957,0.302419,0.283602,0.267473,0.243280,0.227151,0.220430,0.224462,0.211022,0.215054,0.217742,0.221774,0.221774,0.211022,0.219086,0.231183,0.223118,0.219086,0.217742,0.217742,0.215054,0.209677,0.208333,0.211022,0.201613,0.190860,0.198925,0.209677,0.208333,0.194892,0.196237,0.204301,0.198925,0.189516,0.193548,0.197581,0.200269,0.213710,0.231183,0.232527,0.233871,0.243280,0.256720,0.258065,0.248656,0.236559,0.225806,0.217742,0.198925,0.182796,0.182796,0.188172,0.185484,0.182796,0.192204,0.209677,0.288978,0.493280,0.780914,1.000000,0.854839,0.348118,0.000000,0.170699,0.256720,0.206989,0.188172,0.198925,0.194892,0.189516,0.201613,0.209677,0.212366,0.208333,0.217742,0.225806,0.227151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.973607,0.809384,0.205279,0.038123,0.099707,0.090909,0.105572,0.090909,0.102639,0.087977,0.090909,0.087977,0.090909,0.082111,0.093842,0.085044,0.099707,0.093842,0.105572,0.096774,0.099707,0.087977,0.096774,0.087977,0.105572,0.096774,0.108504,0.096774,0.099707,0.090909,0.087977,0.073314,0.085044,0.087977,0.105572,0.105572,0.123167,0.111437,0.137830,0.149560,0.164223,0.161290,0.170088,0.173021,0.184751,0.170088,0.175953,0.164223,0.164223,0.161290,0.164223,0.152493,0.158358,0.146628,0.161290,0.146628,0.146628,0.134897,0.137830,0.134897,0.137830,0.131965,0.134897,0.143695,0.158358,0.146628,0.143695,0.131965,0.137830,0.126100,0.137830,0.137830,0.146628,0.178886,0.193548,0.199413,0.219941,0.202346,0.199413,0.190616,0.193548,0.211144,0.184751,0.158358,0.146628,0.129032,0.137830,0.120235,0.129032,0.114370,0.129032,0.123167,0.126100,0.093842,0.041056,0.000000,0.228739,0.615836,1.000000,0.718475,0.082111,0.090909,0.117302,0.111437,0.120235,0.102639,0.102639,0.099707,0.099707,0.096774,0.090909,0.082111,0.099707,0.093842,0.108504,0.087977,0.102639,0.099707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,0.635328,0.185185,0.054131,0.071225,0.042735,0.014245,0.022792,0.014245,0.019943,0.017094,0.014245,0.000000,0.022792,0.025641,0.025641,0.025641,0.028490,0.054131,0.045584,0.048433,0.059829,0.068376,0.071225,0.065527,0.065527,0.099715,0.079772,0.059829,0.079772,0.082621,0.096866,0.091168,0.113960,0.116809,0.102564,0.088319,0.096866,0.099715,0.091168,0.094017,0.088319,0.085470,0.088319,0.094017,0.096866,0.102564,0.096866,0.094017,0.091168,0.105413,0.096866,0.091168,0.099715,0.108262,0.094017,0.113960,0.133903,0.145299,0.159544,0.185185,0.182336,0.190883,0.185185,0.139601,0.108262,0.085470,0.068376,0.059829,0.068376,0.059829,0.056980,0.028490,0.079772,0.307692,0.700855,0.988604,0.757835,0.287749,0.051282,0.048433,0.062678,0.034188,0.019943,0.008547,0.017094,0.022792,0.019943,0.008547,0.022792,0.025641,0.025641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.962500,0.679167,0.204167,0.129167,0.158333,0.141667,0.112500,0.091667,0.091667,0.083333,0.087500,0.087500,0.095833,0.083333,0.079167,0.095833,0.104167,0.100000,0.087500,0.108333,0.104167,0.091667,0.100000,0.116667,0.112500,0.095833,0.091667,0.112500,0.112500,0.120833,0.120833,0.141667,0.154167,0.145833,0.154167,0.170833,0.191667,0.158333,0.133333,0.150000,0.137500,0.108333,0.091667,0.116667,0.112500,0.091667,0.083333,0.100000,0.095833,0.083333,0.083333,0.079167,0.070833,0.066667,0.058333,0.079167,0.104167,0.100000,0.095833,0.112500,0.141667,0.137500,0.104167,0.108333,0.108333,0.091667,0.066667,0.054167,0.050000,0.041667,0.045833,0.054167,0.066667,0.016667,0.000000,0.233333,0.687500,1.000000,0.558333,0.079167,0.100000,0.129167,0.112500,0.087500,0.083333,0.058333,0.062500,0.075000,0.079167,0.066667,0.079167,0.100000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,0.541463,0.058537,0.156098,0.092683,0.121951,0.107317,0.141463,0.112195,0.146341,0.131707,0.156098,0.136585,0.146341,0.136585,0.165854,0.146341,0.170732,0.141463,0.156098,0.136585,0.180488,0.160976,0.195122,0.170732,0.204878,0.160976,0.195122,0.146341,0.165854,0.126829,0.136585,0.087805,0.107317,0.082927,0.107317,0.063415,0.087805,0.058537,0.087805,0.068293,0.092683,0.068293,0.097561,0.073171,0.092683,0.068293,0.112195,0.073171,0.102439,0.082927,0.102439,0.082927,0.107317,0.082927,0.121951,0.102439,0.136585,0.087805,0.131707,0.112195,0.131707,0.112195,0.146341,0.102439,0.136585,0.107317,0.126829,0.107317,0.141463,0.102439,0.136585,0.107317,0.131707,0.121951,0.151220,0.117073,0.156098,0.141463,0.170732,0.131707,0.160976,0.136585,0.180488,0.141463,0.185366,0.160976,0.185366,0.190244,0.219512,0.224390,0.253659,0.195122,0.200000,0.151220,0.165854,0.078049,0.087805,0.029268,0.078049,0.053659,0.078049,0.082927,0.107317,0.034146,0.360976,0.843902,0.565854,0.000000,0.034146,0.043902,0.053659,0.029268,0.053659,0.034146,0.053659,0.024390,0.053659,0.024390,0.048780,0.024390,0.058537,0.024390,0.058537,0.019512,0
