x001,x002,x003,x004,x005,x006,x007,x008,x009,x010,x011,x012,x013,x014,x015,x016,x017,x018,x019,x020,x021,x022,x023,x024,x025,x026,x027,x028,x029,x030,x031,x032,x033,x034,x035,x036,x037,x038,x039,x040,x041,x042,x043,x044,x045,x046,x047,x048,x049,x050,x051,x052,x053,x054,x055,x056,x057,x058,x059,x060,x061,x062,x063,x064,x065,x066,x067,x068,x069,x070,x071,x072,x073,x074,x075,x076,x077,x078,x079,x080,x081,x082,x083,x084,x085,x086,x087,x088,x089,x090,x091,x092,x093,x094,x095,x096,x097,x098,x099,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,class
1.000000,0.882591,0.418354,0.033738,0.116059,0.259109,0.275304,0.267206,0.268556,0.264507,0.271255,0.276653,0.276653,0.268556,0.263158,0.269906,0.268556,0.267206,0.263158,0.272605,0.271255,0.268556,0.269906,0.284750,0.291498,0.290148,0.295547,0.306343,0.310391,0.309042,0.314440,0.322537,0.309042,0.298246,0.288799,0.284750,0.282051,0.269906,0.264507,0.272605,0.273954,0.263158,0.263158,0.271255,0.267206,0.265857,0.269906,0.272605,0.267206,0.256410,0.257760,0.259109,0.259109,0.251012,0.255061,0.269906,0.272605,0.267206,0.273954,0.284750,0.275304,0.261808,0.253711,0.253711,0.238866,0.217274,0.213225,0.218623,0.225371,0.224022,0.238866,0.256410,0.268556,0.280702,0.309042,0.342780,0.380567,0.495277,0.712551,0.917679,0.865047,0.462888,0.020243,0.000000,0.178138,0.217274,0.194332,0.198381,0.203779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,0.679587,0.000000,0.067183,0.056848,0.100775,0.139535,0.136951,0.144703,0.144703,0.155039,0.155039,0.162791,0.162791,0.173127,0.170543,0.173127,0.175711,0.186047,0.204134,0.206718,0.214470,0.222222,0.227390,0.250646,0.268734,0.284238,0.304910,0.335917,0.354005,0.390181,0.423773,0.465116,0.490956,0.521964,0.552972,0.586563,0.586563,0.568475,0.501292,0.423773,0.351421,0.276486,0.214470,0.180879,0.152455,0.129199,0.116279,0.111111,0.105943,0.100775,0.095607,0.095607,0.095607,0.100775,0.100775,0.095607,0.103359,0.103359,0.098191,0.108527,0.103359,0.103359,0.103359,0.105943,0.100775,0.105943,0.098191,0.105943,0.100775,0.100775,0.095607,0.098191,0.098191,0.098191,0.095607,0.100775,0.093023,0.098191,0.095607,0.098191,0.105943,0.108527,0.121447,0.134367,0.139535,0.149871,0.152455,0.134367,0.126615,0.111111,0.103359,0.111111,0.103359,0.108527,0.111111,0.118863,0.121447,0.142119,0.124031,0.108527,0.273902,0.782946,0.981912,0.372093,0.059432,0.080103,0.093023,0.149871,0.149871,0.155039,0.155039,0.167959,0.165375,0.178295,0.178295,0.186047,0.193798,0.201550,0.201550,0.214470,0.224806,0.242894,0.248062,0.271318,0
0.948387,0.941935,0.383871,0.033871,0.251613,0.314516,0.317742,0.333871,0.333871,0.327419,0.325806,0.338710,0.343548,0.346774,0.346774,0.356452,0.369355,0.370968,0.370968,0.374194,0.391935,0.396774,0.400000,0.409677,0.419355,0.427419,0.429032,0.443548,0.459677,0.461290,0.466129,0.475806,0.487097,0.487097,0.493548,0.495161,0.490323,0.467742,0.438710,0.417742,0.400000,0.383871,0.366129,0.361290,0.362903,0.353226,0.346774,0.350000,0.353226,0.350000,0.343548,0.351613,0.364516,0.362903,0.361290,0.369355,0.382258,0.380645,0.372581,0.377419,0.379032,0.377419,0.372581,0.369355,0.375806,0.370968,0.361290,0.366129,0.367742,0.356452,0.353226,0.351613,0.351613,0.354839,0.348387,0.341935,0.348387,0.346774,0.343548,0.346774,0.353226,0.345161,0.338710,0.341935,0.346774,0.345161,0.332258,0.340323,0.350000,0.346774,0.350000,0.361290,0.375806,0.379032,0.387097,0.383871,0.382258,0.375806,0.364516,0.353226,0.351613,0.356452,0.354839,0.369355,0.438710,0.608065,0.896774,1.000000,0.559677,0.000000,0.151613,0.303226,0.320968,0.337097,0.337097,0.335484,0.343548,0.346774,0.348387,0.350000,0.362903,0.369355,0.370968,0.377419,0.388710,0
1.000000,0.941368,0.557003,0.342020,0.371336,0.364821,0.358306,0.338762,0.338762,0.328990,0.338762,0.332248,0.348534,0.342020,0.358306,0.345277,0.358306,0.351792,0.364821,0.358306,0.381107,0.374593,0.377850,0.387622,0.407166,0.407166,0.436482,0.446254,0.469055,0.469055,0.488599,0.485342,0.508143,0.491857,0.482085,0.459283,0.439739,0.410423,0.407166,0.381107,0.377850,0.358306,0.374593,0.361564,0.364821,0.358306,0.364821,0.351792,0.364821,0.351792,0.368078,0.358306,0.361564,0.351792,0.361564,0.358306,0.358306,0.351792,0.361564,0.351792,0.358306,0.348534,0.358306,0.345277,0.351792,0.342020,0.345277,0.342020,0.348534,0.338762,0.348534,0.335505,0.345277,0.335505,0.348534,0.335505,0.342020,0.332248,0.332248,0.335505,0.345277,0.338762,0.342020,0.335505,0.342020,0.332248,0.348534,0.345277,0.355049,0.345277,0.361564,0.351792,0.358306,0.348534,0.355049,0.355049,0.355049,0.348534,0.368078,0.390879,0.478827,0.550489,0.566775,0.403909,0.120521,0.000000,0.097720,0.114007,0.143322,0.162866,0.143322,0.127036,0.224756,0.361564,0.436482,0.449511,0.488599,0.491857,0.530945,0.514658,0.530945,0.511401,0.530945,0.498371,0.517915,0
1.000000,0.671123,0.058824,0.093583,0.058824,0.000000,0.010695,0.008021,0.000000,0.042781,0.136364,0.232620,0.270053,0.280749,0.310160,0.302139,0.328877,0.331551,0.352941,0.350267,0.387701,0.393048,0.419786,0.441176,0.465241,0.473262,0.510695,0.510695,0.518717,0.516043,0.489305,0.446524,0.422460,0.371658,0.334225,0.310160,0.294118,0.251337,0.243316,0.227273,0.224599,0.221925,0.232620,0.224599,0.237968,0.232620,0.245989,0.229947,0.251337,0.232620,0.237968,0.243316,0.232620,0.227273,0.254011,0.264706,0.288770,0.307487,0.344920,0.355615,0.377005,0.347594,0.304813,0.237968,0.237968,0.213904,0.213904,0.200535,0.197861,0.197861,0.208556,0.205882,0.200535,0.229947,0.302139,0.540107,0.930481,0.949198,0.299465,0.032086,0.101604,0.029412,0.005348,0.026738,0.000000,0.016043,0.106952,0.187166,0.280749,0.302139,0.334225,0.320856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,0.972163,0.578158,0.179872,0.079229,0.079229,0.089936,0.098501,0.092077,0.079229,0.074946,0.085653,0.083512,0.070664,0.064240,0.070664,0.068522,0.053533,0.051392,0.053533,0.053533,0.040685,0.036403,0.036403,0.032120,0.017131,0.010707,0.004283,0.010707,0.000000,0.004283,0.014989,0.027837,0.034261,0.053533,0.089936,0.107066,0.117773,0.126338,0.134904,0.137045,0.128480,0.126338,0.132762,0.126338,0.124197,0.124197,0.128480,0.128480,0.119914,0.115632,0.124197,0.119914,0.111349,0.111349,0.115632,0.117773,0.115632,0.117773,0.126338,0.128480,0.122056,0.130621,0.137045,0.147752,0.152034,0.156317,0.169165,0.179872,0.188437,0.197002,0.209850,0.203426,0.188437,0.162741,0.162741,0.149893,0.126338,0.122056,0.126338,0.128480,0.126338,0.130621,0.147752,0.173448,0.239829,0.379015,0.597430,0.817987,0.942184,0.967880,0.627409,0.190578,0.070664,0.081370,0.089936,0.094218,0.087794,0.081370,0.083512,0.079229,0.074946,0.068522,0.074946,0.072805,0.059957,0.053533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,0.987113,0.711340,0.242268,0.105670,0.172680,0.105670,0.061856,0.041237,0.056701,0.048969,0.085052,0.056701,0.059278,0.043814,0.072165,0.054124,0.056701,0.054124,0.067010,0.056701,0.048969,0.059278,0.082474,0.079897,0.077320,0.095361,0.105670,0.115979,0.105670,0.134021,0.131443,0.141753,0.123711,0.136598,0.144330,0.139175,0.123711,0.131443,0.128866,0.141753,0.115979,0.118557,0.123711,0.121134,0.087629,0.097938,0.087629,0.108247,0.074742,0.085052,0.092784,0.108247,0.082474,0.103093,0.095361,0.110825,0.085052,0.105670,0.097938,0.110825,0.097938,0.123711,0.134021,0.139175,0.144330,0.175258,0.213918,0.224227,0.216495,0.213918,0.203608,0.177835,0.162371,0.131443,0.126289,0.092784,0.074742,0.067010,0.077320,0.079897,0.069588,0.030928,0.000000,0.005155,0.231959,0.530928,0.817010,0.953608,0.953608,0.847938,0.533505,0.118557,0.087629,0.131443,0.090206,0.025773,0.018041,0.018041,0.033505,0.020619,0.012887,0.002577,0.030928,0.023196,0.030928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.880759,0.823848,0.360434,0.000000,0.016260,0.073171,0.062331,0.065041,0.027100,0.021680,0.032520,0.035230,0.048780,0.029810,0.027100,0.027100,0.016260,0.037940,0.005420,0.018970,0.027100,0.048780,0.062331,0.070461,0.056911,0.075881,0.113821,0.089431,0.105691,0.154472,0.111111,0.132791,0.135501,0.149051,0.157182,0.154472,0.146341,0.143631,0.121951,0.116531,0.135501,0.092141,0.084011,0.081301,0.089431,0.081301,0.059621,0.065041,0.067751,0.065041,0.070461,0.081301,0.102981,0.084011,0.089431,0.097561,0.124661,0.121951,0.108401,0.132791,0.119241,0.127371,0.108401,0.116531,0.084011,0.097561,0.097561,0.100271,0.094851,0.105691,0.086721,0.100271,0.102981,0.108401,0.097561,0.092141,0.081301,0.105691,0.078591,0.100271,0.081301,0.094851,0.092141,0.097561,0.108401,0.113821,0.094851,0.111111,0.119241,0.105691,0.105691,0.094851,0.108401,0.116531,0.094851,0.111111,0.094851,0.081301,0.089431,0.113821,0.116531,0.119241,0.108401,0.108401,0.113821,0.170732,0.246612,0.439024,0.742547,1.000000,0.766938,0.276423,0.016260,0.073171,0.084011,0.081301,0.062331,0.051491,0.046070,0.059621,0.040650,0.048780,0.046070,0.059621,0.054201,0
1.000000,0.659919,0.255061,0.230769,0.139676,0.004049,0.000000,0.085020,0.194332,0.263158,0.275304,0.289474,0.299595,0.301619,0.305668,0.315789,0.319838,0.319838,0.321862,0.331984,0.334008,0.336032,0.338057,0.350202,0.362348,0.364372,0.372470,0.386640,0.404858,0.408907,0.425101,0.445344,0.463563,0.473684,0.489879,0.512146,0.524292,0.526316,0.532389,0.548583,0.544534,0.544534,0.528340,0.516194,0.500000,0.469636,0.437247,0.412955,0.392713,0.376518,0.354251,0.350202,0.344130,0.331984,0.327935,0.336032,0.334008,0.331984,0.329960,0.336032,0.338057,0.329960,0.331984,0.334008,0.338057,0.331984,0.329960,0.329960,0.329960,0.325911,0.317814,0.315789,0.317814,0.313765,0.309717,0.315789,0.319838,0.307692,0.307692,0.313765,0.315789,0.309717,0.303644,0.307692,0.315789,0.317814,0.303644,0.315789,0.311741,0.317814,0.334008,0.342105,0.362348,0.372470,0.388664,0.388664,0.378543,0.356275,0.331984,0.319838,0.319838,0.307692,0.297571,0.301619,0.307692,0.303644,0.297571,0.309717,0.281377,0.210526,0.384615,0.862348,0.947368,0.376518,0.192308,0.210526,0.074899,0.006073,0.048583,0.147773,0.240891,0.283401,0.297571,0.313765,0.319838,0
1.000000,0.639831,0.233051,0.235169,0.154661,0.014831,0.012712,0.101695,0.201271,0.254237,0.281780,0.296610,0.298729,0.292373,0.305085,0.315678,0.313559,0.307203,0.313559,0.326271,0.326271,0.328390,0.334746,0.349576,0.353814,0.355932,0.360170,0.381356,0.385593,0.385593,0.402542,0.421610,0.430085,0.438559,0.457627,0.480932,0.485170,0.493644,0.504237,0.523305,0.527542,0.523305,0.538136,0.542373,0.521186,0.500000,0.474576,0.461864,0.436441,0.411017,0.387712,0.368644,0.353814,0.343220,0.332627,0.332627,0.328390,0.328390,0.326271,0.330508,0.326271,0.326271,0.332627,0.343220,0.338983,0.326271,0.326271,0.324153,0.326271,0.322034,0.315678,0.324153,0.315678,0.305085,0.305085,0.313559,0.296610,0.296610,0.307203,0.307203,0.311441,0.298729,0.300847,0.307203,0.305085,0.309322,0.300847,0.309322,0.315678,0.309322,0.322034,0.347458,0.358051,0.364407,0.370763,0.364407,0.341102,0.315678,0.305085,0.305085,0.294492,0.273305,0.273305,0.294492,0.292373,0.277542,0.281780,0.292373,0.264830,0.188559,0.283898,0.694915,1.000000,0.620763,0.197034,0.205508,0.135593,0.019068,0.000000,0.052966,0.141949,0.218220,0.271186,0.292373,0.288136,0
